Country Name,Country Code,Series Name,Series Code,2016 [Unemployment|2016],2017 [Unemployment|2017],2018 [Unemployment|2018],2019 [Unemployment|2019],2020 [Unemployment|2020],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Sao Tome and Principe,STP,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,13,13,13,13,14,32443443,33101183,33702757,34268529,34813867
Saudi Arabia,SAU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6,6,6,6,8,14993514,15419354,15854324,16296362,16743930
Senegal,SEN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7,7,7,6,7,7058322,7020858,6982604,6945235,6908224
Serbia,SRB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,15,13,13,10,9,94677,95843,96762,97625,98462
Seychelles,SYC,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,0,0,0,0,0,7328846,7488427,7650149,7813207,7976985
Sierra Leone,SLE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5,5,4,4,5,5607283,5612253,5638676,5703569,5685807
Singapore,SGP,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4,4,4,3,5,39969,40574,40654,40733,40812
Sint Maarten (Dutch part),SXM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,0,0,0,0,0,5430798,5439232,5446771,5454147,5458827
Slovak Republic,SVK,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,10,8,7,6,7,2065042,2066388,2073894,2088385,2100126
Slovenia,SVN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,8,7,5,4,5,619438,636030,652856,669821,686878
Solomon Islands,SLB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1,1,1,1,1,14185635,14589165,15008225,15442906,15893219
Somalia,SOM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,13,13,13,13,13,56207649,57009751,57792520,58558267,59308690
South Africa,ZAF,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,27,27,27,28,29,10832520,10910774,10975924,11062114,11193729
South Sudan,SSD,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,12,12,12,12,13,46484062,46593236,46797754,47133521,47351567
Spain,ESP,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,20,17,15,14,16,21203000,21444000,21670000,21803000,21919000
Sri Lanka,LKA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4,4,4,4,5,51629,52036,52438,52834,53192
St. Kitts and Nevis,KNA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,0,0,0,0,0,180028,180955,181890,182795,183629
St. Lucia,LCA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,20,19,19,16,17,36061,36569,37264,38002,38659
St. Martin (French part),MAF,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,0,0,0,0,0,109467,109826,110210,110593,110947
St. Vincent and the Grenadines,VCT,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,19,19,19,19,20,39847433,40813398,41801532,42813237,43849269
Sudan,SDN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,17,17,17,17,18,564883,570501,575987,581363,586634
Suriname,SUR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7,7,7,7,9,1113994,1124808,1136274,1148133,1160164
Sweden,SWE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7,7,6,7,8,9923085,10057698,10175214,10278887,10353442
Switzerland,CHE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5,5,5,4,5,8373338,8451840,8514329,8575280,8636896
Syrian Arab Republic,SYR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,8,8,8,8,9,17465567,17095669,16945062,17070132,17500657
Tajikistan,TJK,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7,7,7,7,8,8663575,8880270,9100847,9321023,9537642
Tanzania,TZA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2,2,2,2,2,53049231,54660345,56313444,58005461,59734213
Thailand,THA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1,1,1,1,1,68971313,69209817,69428454,69625581,69799978
Timor-Leste,TLS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5,5,4,4,5,1219289,1243260,1267975,1293120,1318442
Togo,TGO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3,4,4,4,4,7509952,7698476,7889095,8082359,8278737
Tonga,TON,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3,3,3,3,4,101143,102002,103199,104497,105697
Trinidad and Tobago,TTO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3,3,3,3,7,1377563,1384060,1389841,1394969,1399491
Tunisia,TUN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,16,15,15,15,17,11303942,11433438,11565203,11694721,11818618
Turkey,TUR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11,11,11,14,14,79827868,81116451,82340090,83429607,84339067
Turkmenistan,TKM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4,4,4,4,4,5662371,5757667,5850902,5942094,6031187
Turks and Caicos Islands,TCA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,0,0,0,0,0,36558,37116,37667,38194,38718
Tuvalu,TUV,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,0,0,0,0,0,11232,11365,11505,11655,11792
Uganda,UGA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2,2,2,2,2,39649173,41166588,42729032,44269587,45741000
Ukraine,UKR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9,10,9,8,9,45004673,44831135,44622518,44386203,44134693
United Arab Emirates,ARE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2,2,2,2,5,9360975,9487206,9630966,9770526,9890400
United Kingdom,GBR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5,4,4,4,4,65611593,66058859,66460344,66836327,67215293
United States,USA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5,4,4,4,8,323071755,325122128,326838199,328329953,329484123
Uruguay,URY,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,8,8,8,9,13,3424139,3436645,3449290,3461731,3473727
Uzbekistan,UZB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5,6,6,6,6,31847900,32388600,32956100,33580350,34232050
Vanuatu,VUT,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2,2,2,2,2,278326,285499,292675,299882,307150
"Venezuela, RB",VEN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7,7,7,7,9,29851249,29402480,28887117,28515829,28435943
Vietnam,VNM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2,2,1,2,2,93640435,94600643,95545959,96462108,97338583
Virgin Islands (U.S.),VIR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,8,8,8,8,12,107516,107281,107001,106669,106290
West Bank and Gaza,PSE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,24,26,26,25,27,4367088,4454805,4569087,4685306,4803269
"Yemen, Rep.",YEM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,13,13,13,13,13,27168210,27834811,28498683,29161922,29825968
Zambia,ZMB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11,12,12,12,12,16363449,16853608,17351714,17861034,18383956
Zimbabwe,ZWE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5,5,5,5,6,14030338,14236599,14438812,14645473,14862927
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,
Last Updated: 09/15/2021,,,,,,,,,,,,,
